k,elo,timing,n,wins,median_s,win_rate_percent,wilson_95_low_percent,wilson_95_high_percent
Tier1Lane,high,00-05,944,609,271.0,64.512712,61.40726,67.500528
Tier1Lane,high,05-08,12357,7449,411.0,60.281622,59.415815,61.141038
Tier1Lane,high,08-11,4554,2532,527.0,55.599473,54.152305,57.037202
Tier1Lane,high,11-15,44,23,681.0,52.272727,37.935466,66.245009
Tier1Lane,high,,17899,10613,428.0,59.293815,58.572167,60.011475
Tier1Lane,low,00-05,827,511,269.0,61.789601,58.430661,65.039521
Tier1Lane,low,05-08,11587,7037,420.0,60.731855,59.839255,61.61734
Tier1Lane,low,08-11,13060,7574,544.0,57.993874,57.145151,58.837897
Tier1Lane,low,11-15,1200,679,688.0,56.583333,53.762389,59.362262
Tier1Lane,low,,26674,15801,488.0,59.23746,58.646468,59.825791
Tier1Lane,mid,00-05,578,359,270.0,62.110727,58.088225,65.973313
Tier1Lane,mid,05-08,9984,5961,419.0,59.705529,58.739861,60.663731
Tier1Lane,mid,08-11,7817,4386,536.0,56.108482,55.005646,57.205316
Tier1Lane,mid,11-15,305,160,684.0,52.459016,46.858741,57.99812
Tier1Lane,mid,,18684,10866,470.0,58.156712,57.447769,58.862301
Tier1Lane,,00-05,2349,1479,270.0,62.962963,60.990436,64.893161
Tier1Lane,,05-08,33928,20447,416.0,60.265857,59.744024,60.785365
Tier1Lane,,08-11,25431,14492,538.0,56.985569,56.376065,57.592962
Tier1Lane,,11-15,1549,862,686.0,55.648806,53.163835,58.105828
Tier1Lane,,,63257,37280,466.0,58.934189,58.550288,59.317005
Tier2Lane,high,05-08,21,15,420.0,71.428571,50.043619,86.186137
Tier2Lane,high,08-11,371,275,617.0,74.123989,69.436316,78.317206
Tier2Lane,high,11-15,8639,5666,795.0,65.586295,64.577748,66.580986
Tier2Lane,high,15-20,7651,4803,1033.0,62.776108,61.686778,63.852614
Tier2Lane,high,20-25,1178,725,1248.0,61.544992,58.733628,64.281303
Tier2Lane,high,25+,51,25,1568.0,49.019608,35.857486,62.319076
Tier2Lane,high,,17911,11509,897.0,64.256602,63.551763,64.955328
Tier2Lane,low,00-05,2,1,241.5,50.0,9.453121,90.546879
Tier2Lane,low,05-08,45,33,445.0,73.333333,58.961162,84.035096
Tier2Lane,low,08-11,531,377,615.0,70.998117,66.998673,74.695926
Tier2Lane,low,11-15,9722,6460,807.0,66.447233,65.502316,67.379157
Tier2Lane,low,15-20,12810,8183,1046.0,63.879781,63.043913,64.707328
Tier2Lane,low,20-25,3323,2039,1260.0,61.360217,59.692448,63.00175
Tier2Lane,low,25+,260,156,1575.5,60.0,53.941321,65.767485
Tier2Lane,low,,26693,17249,979.0,64.619938,64.044268,65.1914
Tier2Lane,mid,00-05,1,0,172.0,0.0,0.0,79.345069
Tier2Lane,mid,05-08,19,14,466.0,73.684211,51.208449,88.193588
Tier2Lane,mid,08-11,323,207,614.0,64.086687,58.717436,69.124809
Tier2Lane,mid,11-15,7113,4722,802.0,66.385491,65.279112,67.474182
Tier2Lane,mid,15-20,8951,5715,1048.0,63.847615,62.846572,64.836777
Tier2Lane,mid,20-25,2121,1321,1255.0,62.281942,60.198796,64.32068
Tier2Lane,mid,25+,152,106,1567.0,69.736842,62.021294,76.479372
Tier2Lane,mid,,18680,12085,972.0,64.694861,64.006552,65.377127
Tier2Lane,,00-05,3,1,233.0,33.333333,6.149194,79.23404
Tier2Lane,,05-08,85,62,438.0,72.941176,62.65804,81.240383
Tier2Lane,,08-11,1225,859,616.0,70.122449,67.499589,72.6195
Tier2Lane,,11-15,25474,16848,801.0,66.138023,65.554488,66.716692
Tier2Lane,,15-20,29412,18701,1043.0,63.582891,63.031219,64.131016
Tier2Lane,,20-25,6622,4085,1256.5,61.688312,60.510953,62.852117
Tier2Lane,,25+,463,287,1570.0,61.987041,57.483985,66.292823
Tier2Lane,,,63284,40843,957.0,64.53922,64.165624,64.911051
