lane,elo,n,wins,win_rate_percent,wilson_95_low_percent,wilson_95_high_percent
1,high,13951,8436,60.468784,59.654709,61.277095
1,low,20789,12162,58.502092,57.830805,59.170238
1,mid,14355,8427,58.704284,57.896619,59.507292
1,,49095,29025,59.120073,58.684514,59.554206
4,high,13561,8172,60.261043,59.434625,61.081649
4,low,20444,11981,58.603991,57.927274,59.277475
4,mid,14130,8280,58.598726,57.784362,59.408417
4,,48135,28433,59.069284,58.629316,59.507805
6,high,14079,8553,60.750053,59.940631,61.55361
6,low,20893,12264,58.699086,58.029905,59.365069
6,mid,14499,8456,58.321264,57.516654,59.121465
6,,49471,29273,59.17204,58.738223,59.604433
team,high,12096,8160,67.460317,66.619943,68.289605
team,low,17760,11608,65.36036,64.657312,66.056765
team,mid,12403,8037,64.798839,63.953857,65.634657
team,,42259,27805,65.796635,65.342919,66.247479
